group_size;enemyCount;hasCircle;stratName;friendlyCasts0;friendlyCasts1;friendlyCasts2;friendlyCasts3;friendlyCasts4;friendlyCasts5;enemyCasts0;enemyCasts1;enemyCasts2;enemyCasts3;enemyCasts4;enemyCasts5;ticksPerSecond;friendlyTicksPerTime;enemyTicksPerTime
5;5;1;THREESTACKSENEMY;267;41;89;2;0;1;0;0;0;0;0;0;5.43882;2.82603;2.61279
5;5;1;THREESTACKSFRIENDLY;0;0;0;0;0;0;266;36;94;0;1;3;5.60866;2.69743;2.91123
5;5;1;LOWEST;59;7;57;109;0;0;4;14;62;88;0;0;5.03906;2.54338;2.49568
5;5;1;LOWESTENEMYFIRST;3;10;59;82;0;0;60;9;69;108;0;0;5.06488;2.50335;2.56153
5;5;1;LOWESTENEMY;219;21;57;102;1;0;0;0;0;0;0;0;5.46625;2.84999;2.61626
5;5;1;LOWESTFRIENDLY;0;0;0;0;0;0;196;21;72;110;0;1;5.58627;2.68698;2.89929
5;6;1;FOCUSFRIENDLY;227;17;25;32;34;65;0;0;0;0;0;0;5.31613;2.75096;2.56517
5;6;1;FOCUSENEMY;0;0;0;0;0;0;254;23;26;29;36;32;5.29488;2.44208;2.8528
5;6;1;RANDOM;380;0;0;0;0;0;20;0;0;0;0;0;5.10908;2.64839;2.46069
5;6;1;RANDOMENEMY;6;0;0;0;0;0;394;0;0;0;0;0;5.40078;2.55141;2.84937
5;6;1;RANDOMFRIENDLY;0;0;0;0;0;0;391;4;4;1;0;0;5.32806;2.4752;2.85286
5;6;1;ONESTACK;376;9;8;5;2;0;0;0;0;0;0;0;5.18306;2.66208;2.52098
5;6;1;ONESTACKENEMYFIRST;80;16;26;7;22;32;119;13;26;8;29;22;5.47161;2.66187;2.80974
5;6;1;ONESTACKENEMY;0;0;0;0;0;0;289;14;16;17;33;31;5.30277;2.47639;2.82638
5;6;1;ONESTACKFRIENDLY;244;12;20;27;34;63;0;0;0;0;0;0;5.47984;2.81231;2.66753
5;6;1;TWOSTACKS;192;94;0;0;0;0;22;92;0;0;0;0;5.44879;2.75452;2.69427
5;6;1;TWOSTACKSENEMYFIRST;11;80;0;0;0;0;243;66;0;0;0;0;5.79178;2.78563;3.00615
5;6;1;TWOSTACKSENEMY;265;42;81;9;2;1;0;0;0;0;0;0;5.73874;2.91663;2.82211
5;6;1;TWOSTACKSFRIENDLY;0;0;0;0;0;0;337;62;1;0;0;0;5.58783;2.63465;2.95318
5;6;1;THREESTACKS;89;26;110;0;0;0;20;32;123;0;0;0;5.37894;2.66885;2.71009
5;6;1;THREESTACKSENEMYFIRST;2;34;110;0;0;0;103;21;130;0;0;0;5.75114;2.80682;2.94432
5;6;1;THREESTACKSENEMY;257;47;87;5;2;2;0;0;0;0;0;0;5.90877;2.99897;2.9098
5;6;1;THREESTACKSFRIENDLY;0;0;0;0;0;0;256;44;98;0;2;0;5.65883;2.65336;3.00547
5;6;1;LOWEST;42;15;55;131;0;0;5;13;61;78;0;0;5.46253;2.71695;2.74558
5;6;1;LOWESTENEMYFIRST;3;24;47;94;0;0;62;11;65;94;0;0;5.51009;2.71274;2.79735
5;6;1;LOWESTENEMY;209;14;52;123;1;1;0;0;0;0;0;0;5.65686;2.8991;2.75776
5;6;1;LOWESTFRIENDLY;0;0;0;0;0;0;204;24;83;89;0;0;5.91794;2.78444;3.1335
5;7;1;FOCUSFRIENDLY;249;12;20;38;22;59;0;0;0;0;0;0;5.05549;2.58993;2.46556
5;7;1;FOCUSENEMY;0;0;0;0;0;0;278;14;26;19;45;18;5.48986;2.48441;3.00545
5;7;1;RANDOM;363;0;0;0;0;0;37;0;0;0;0;0;5.72813;2.83248;2.89565
5;7;1;RANDOMENEMY;2;0;0;0;0;0;398;0;0;0;0;0;5.83051;2.66522;3.16529
5;7;1;RANDOMFRIENDLY;0;0;0;0;0;0;399;0;0;1;0;0;4.97707;2.22936;2.74771
5;7;1;ONESTACK;375;10;9;6;0;0;0;0;0;0;0;0;5.54563;2.79035;2.75528
5;7;1;ONESTACKENEMYFIRST;87;6;20;20;10;26;151;11;17;11;29;12;5.34775;2.55729;2.79046
5;7;1;ONESTACKENEMY;0;0;0;0;0;0;316;14;24;10;26;10;5.40987;2.45189;2.95798
5;7;1;ONESTACKFRIENDLY;246;17;23;31;29;54;0;0;0;0;0;0;5.26597;2.70305;2.56292
5;7;1;TWOSTACKS;190;79;0;0;0;0;43;88;0;0;0;0;5.97696;2.90437;3.07259
5;7;1;TWOSTACKSENEMYFIRST;1;85;0;0;0;0;242;72;0;0;0;0;5.90136;2.79836;3.103
5;7;1;TWOSTACKSENEMY;276;40;72;2;2;8;0;0;0;0;0;0;5.7019;2.86681;2.83509
5;7;1;TWOSTACKSFRIENDLY;0;0;0;0;0;0;336;63;0;0;1;0;6.0846;2.81914;3.26546
5;7;1;THREESTACKS;86;32;105;0;0;0;26;33;118;0;0;0;5.91818;2.87186;3.04632
5;7;1;THREESTACKSENEMYFIRST;1;32;92;0;0;0;112;30;133;0;0;0;5.96329;2.83597;3.12732
5;7;1;THREESTACKSENEMY;251;46;91;4;2;6;0;0;0;0;0;0;5.93546;2.97476;2.9607
5;7;1;THREESTACKSFRIENDLY;0;0;0;0;0;0;270;38;92;0;0;0;5.79184;2.64485;3.14699
5;7;1;LOWEST;40;10;62;131;0;0;4;15;84;54;0;0;5.62606;2.77104;2.85502
5;7;1;LOWESTENEMYFIRST;0;10;48;115;0;0;56;10;71;90;0;0;5.61997;2.72487;2.8951
5;7;1;LOWESTENEMY;218;21;43;117;0;1;0;0;0;0;0;0;5.66314;2.85507;2.80807
5;7;1;LOWESTFRIENDLY;0;0;0;0;0;0;205;21;83;90;0;1;6.07748;2.77786;3.29962
5;8;1;FOCUSFRIENDLY;226;26;26;36;16;70;0;0;0;0;0;0;5.64299;2.83126;2.81173
5;8;1;FOCUSENEMY;0;0;0;0;0;0;316;10;19;17;27;11;5.32243;2.36423;2.9582
5;8;1;RANDOM;371;0;0;0;0;0;29;0;0;0;0;0;5.19895;2.61511;2.58384
5;8;1;RANDOMENEMY;0;0;0;0;0;0;400;0;0;0;0;0;5.70558;2.55635;3.14923
5;8;1;RANDOMFRIENDLY;0;0;0;0;0;0;400;0;0;0;0;0;5.18932;2.30983;2.87949
5;8;1;ONESTACK;367;10;10;13;0;0;0;0;0;0;0;0;5.03598;2.56865;2.46733
5;8;1;ONESTACKENEMYFIRST;72;13;20;15;14;30;152;15;17;6;37;9;5.84575;2.75055;3.0952
5;8;1;ONESTACKENEMY;0;0;0;0;0;0;298;12;21;14;42;13;5.77592;2.58063;3.19529
5;8;1;ONESTACKFRIENDLY;262;13;18;35;23;49;0;0;0;0;0;0;5.49118;2.73115;2.76003
5;8;1;TWOSTACKS;200;78;0;0;0;0;29;93;0;0;0;0;5.85395;2.82745;3.0265
5;8;1;TWOSTACKSENEMYFIRST;0;81;0;0;0;0;235;84;0;0;0;0;5.66669;2.59619;3.0705
5;8;1;TWOSTACKSENEMY;268;31;83;8;3;7;0;0;0;0;0;0;5.70122;2.85265;2.84857
5;8;1;TWOSTACKSFRIENDLY;0;0;0;0;0;0;344;56;0;0;0;0;6.28923;2.89583;3.3934
5;8;1;THREESTACKS;86;35;86;0;0;0;27;30;136;0;0;0;5.8456;2.80013;3.04547
5;8;1;THREESTACKSENEMYFIRST;3;21;100;0;0;0;113;33;130;0;0;0;6.35325;2.98858;3.36467
5;8;1;THREESTACKSENEMY;268;43;80;2;0;7;0;0;0;0;0;0;5.6789;2.84778;2.83112
5;8;1;THREESTACKSFRIENDLY;0;0;0;0;0;0;240;42;118;0;0;0;6.15559;2.80345;3.35214
5;8;1;LOWEST;45;9;54;145;0;0;6;16;68;57;0;0;5.74239;2.78657;2.95582
5;8;1;LOWESTENEMYFIRST;1;10;46;118;0;0;51;10;80;84;0;0;5.70008;2.70374;2.99634
5;8;1;LOWESTENEMY;212;20;30;138;0;0;0;0;0;0;0;0;5.76393;2.87123;2.8927
5;8;1;LOWESTFRIENDLY;0;0;0;0;0;0;247;19;77;57;0;0;5.89956;2.66216;3.2374
5;9;1;FOCUSFRIENDLY;285;21;14;29;15;36;0;0;0;0;0;0;4.69064;2.37972;2.31092
5;9;1;FOCUSENEMY;0;0;0;0;0;0;316;13;16;9;41;5;5.32509;2.35314;2.97195
5;9;1;RANDOM;369;0;0;0;0;0;31;0;0;0;0;0;4.73928;2.38137;2.35791
5;9;1;RANDOMENEMY;0;0;0;0;0;0;400;0;0;0;0;0;5.08661;2.24112;2.84549
5;9;1;RANDOMFRIENDLY;0;0;0;0;0;0;400;0;0;0;0;0;5.38629;2.38243;3.00386
5;9;1;ONESTACK;358;19;6;16;1;0;0;0;0;0;0;0;5.37045;2.65843;2.71202
5;9;1;ONESTACKENEMYFIRST;69;10;28;11;9;21;182;4;23;13;26;4;5.68294;2.64096;3.04198
5;9;1;ONESTACKENEMY;0;0;0;0;0;0;333;8;12;11;31;5;5.45851;2.39453;3.06398
5;9;1;ONESTACKFRIENDLY;256;20;26;27;24;47;0;0;0;0;0;0;5.50071;2.76325;2.73746
5;9;1;TWOSTACKS;208;86;0;0;0;0;27;79;0;0;0;0;6.05368;2.9028;3.15088
5;9;1;TWOSTACKSENEMYFIRST;0;70;0;0;0;0;255;75;0;0;0;0;6.0571;2.77597;3.28113
5;9;1;TWOSTACKSENEMY;252;46;86;3;2;11;0;0;0;0;0;0;5.83637;2.88915;2.94722
5;9;1;TWOSTACKSFRIENDLY;0;0;0;0;0;0;358;42;0;0;0;0;5.31527;2.37187;2.9434
5;9;1;THREESTACKS;88;30;112;0;0;0;21;22;127;0;0;0;6.18823;2.9446;3.24363
5;9;1;THREESTACKSENEMYFIRST;0;24;89;0;0;0;106;36;145;0;0;0;6.12892;2.82469;3.30423
5;9;1;THREESTACKSENEMY;255;47;81;7;0;10;0;0;0;0;0;0;5.91431;2.94443;2.96988
5;9;1;THREESTACKSFRIENDLY;0;0;0;0;0;0;261;35;104;0;0;0;6.41634;2.87676;3.53958
5;9;1;LOWEST;61;12;40;131;0;0;9;16;70;61;0;0;5.93594;2.82294;3.113
5;9;1;LOWESTENEMYFIRST;0;14;49;110;0;0;63;15;90;59;0;0;5.76592;2.71774;3.04818
5;9;1;LOWESTENEMY;163;21;45;165;1;5;0;0;0;0;0;0;6.37273;3.13755;3.23518
5;9;1;LOWESTFRIENDLY;0;0;0;0;0;0;237;14;87;62;0;0;6.06972;2.68809;3.38163
5;10;1;FOCUSFRIENDLY;271;22;14;28;16;49;0;0;0;0;0;0;4.99547;2.47584;2.51963
5;10;1;FOCUSENEMY;0;0;0;0;0;0;351;10;16;4;14;5;4.9763;2.15353;2.82277
5;10;1;RANDOM;348;0;0;0;0;0;52;0;0;0;0;0;5.86551;2.84587;3.01964
5;10;1;RANDOMENEMY;0;0;0;0;0;0;400;0;0;0;0;0;4.64493;1.9751;2.66983
5;10;1;RANDOMFRIENDLY;0;0;0;0;0;0;400;0;0;0;0;0;5.36944;2.33427;3.03517
5;10;1;ONESTACK;370;14;6;8;1;1;0;0;0;0;0;0;4.71825;2.36019;2.35806
5;10;1;ONESTACKENEMYFIRST;48;9;13;12;13;23;200;14;20;11;31;6;5.60505;2.55452;3.05053
5;10;1;ONESTACKENEMY;0;0;0;0;0;0;341;14;10;6;18;11;5.09511;2.18327;2.91184
5;10;1;ONESTACKFRIENDLY;280;17;22;23;11;47;0;0;0;0;0;0;5.10648;2.55175;2.55473
