group_size;enemyCount;hasCircle;stratName;friendlyCasts0;friendlyCasts1;friendlyCasts2;friendlyCasts3;friendlyCasts4;friendlyCasts5;enemyCasts0;enemyCasts1;enemyCasts2;enemyCasts3;enemyCasts4;enemyCasts5;ticksPerSecond;friendlyTicksPerTime;enemyTicksPerTime
1;10;1;TWOSTACKSENEMYFIRST;0;0;0;0;0;0;399;1;0;0;0;0;1.91862;0.76438;1.15424
1;10;1;TWOSTACKSENEMY;295;0;3;8;6;88;0;0;0;0;0;0;1.47737;0.77101;0.70636
1;10;1;TWOSTACKSFRIENDLY;0;0;0;0;0;0;400;0;0;0;0;0;1.91116;0.75809;1.15307
1;10;1;THREESTACKS;118;1;26;0;0;0;236;2;17;0;0;0;1.76928;0.75583;1.01345
1;10;1;THREESTACKSENEMYFIRST;0;0;33;0;0;0;363;0;4;0;0;0;1.81489;0.71854;1.09635
1;10;1;THREESTACKSENEMY;294;1;1;16;3;85;0;0;0;0;0;0;1.48287;0.77195;0.71092
1;10;1;THREESTACKSFRIENDLY;0;0;0;0;0;0;397;0;3;0;0;0;1.9071;0.76142;1.14568
1;10;1;LOWEST;96;0;21;6;0;0;271;0;6;0;0;0;1.75693;0.74928;1.00765
1;10;1;LOWESTENEMYFIRST;0;0;32;0;0;0;363;0;5;0;0;0;1.83724;0.7332;1.10404
1;10;1;LOWESTENEMY;289;0;0;16;1;94;0;0;0;0;0;0;1.45027;0.76932;0.68095
1;10;1;LOWESTFRIENDLY;0;0;0;0;0;0;393;0;7;0;0;0;1.9249;0.76424;1.16066
5;1;1;FOCUSFRIENDLY;385;0;0;1;12;2;0;0;0;0;0;0;1.87836;1.12126;0.7571
5;1;1;FOCUSENEMY;0;0;0;0;0;0;298;2;1;10;2;87;1.42942;0.66978;0.75964
5;1;1;RANDOM;400;0;0;0;0;0;0;0;0;0;0;0;1.90792;1.13809;0.76983
5;1;1;RANDOMENEMY;387;0;0;0;0;0;13;0;0;0;0;0;1.88885;1.11655;0.7723
5;1;1;RANDOMFRIENDLY;0;0;0;0;0;0;292;0;0;9;5;94;1.45967;0.68553;0.77414
5;1;1;ONESTACK;400;0;0;0;0;0;0;0;0;0;0;0;1.88203;1.12444;0.75759
5;1;1;ONESTACKENEMYFIRST;298;0;1;0;22;1;19;0;5;1;3;50;1.66214;0.96836;0.69378
5;1;1;ONESTACKENEMY;0;0;0;0;0;0;296;0;0;10;5;89;1.44294;0.67812;0.76482
5;1;1;ONESTACKFRIENDLY;377;0;0;2;18;3;0;0;0;0;0;0;1.90045;1.13644;0.76401
5;1;1;TWOSTACKS;400;0;0;0;0;0;0;0;0;0;0;0;1.8761;1.11348;0.76262
5;1;1;TWOSTACKSENEMYFIRST;370;0;0;0;0;0;30;0;0;0;0;0;1.84834;1.08617;0.76217
5;1;1;TWOSTACKSENEMY;399;0;1;0;0;0;0;0;0;0;0;0;1.86188;1.09652;0.76536
5;1;1;TWOSTACKSFRIENDLY;0;0;0;0;0;0;290;0;0;17;2;91;1.46219;0.68855;0.77364
5;1;1;THREESTACKS;364;0;2;0;0;0;0;0;34;0;0;0;1.78474;1.05454;0.7302
5;1;1;THREESTACKSENEMYFIRST;278;1;8;0;0;0;90;0;23;0;0;0;1.74756;0.9903;0.75726
5;1;1;THREESTACKSENEMY;397;0;3;0;0;0;0;0;0;0;0;0;1.89589;1.12792;0.76797
5;1;1;THREESTACKSFRIENDLY;0;0;0;0;0;0;292;0;0;10;4;94;1.44727;0.6778;0.76947
5;1;1;LOWEST;363;0;4;0;0;0;0;0;33;0;0;0;1.76109;1.03505;0.72604
5;1;1;LOWESTENEMYFIRST;227;1;17;1;0;0;120;1;27;6;0;0;1.69281;0.94773;0.74508
5;1;1;LOWESTENEMY;398;0;0;2;0;0;0;0;0;0;0;0;1.87289;1.11191;0.76098
5;1;1;LOWESTFRIENDLY;0;0;0;0;0;0;291;0;0;9;5;95;1.43913;0.67014;0.76899
5;2;1;FOCUSFRIENDLY;344;3;9;3;35;6;0;0;0;0;0;0;3.00029;1.73137;1.26892
5;2;1;FOCUSENEMY;0;0;0;0;0;0;266;4;9;27;14;80;2.64884;1.31662;1.33222
5;2;1;RANDOM;400;0;0;0;0;0;0;0;0;0;0;0;3.12148;1.77974;1.34174
5;2;1;RANDOMENEMY;165;0;0;0;0;0;235;0;0;0;0;0;2.93364;1.57291;1.36073
5;2;1;RANDOMFRIENDLY;0;0;0;0;0;0;309;4;9;34;8;36;2.70017;1.33789;1.36228
5;2;1;ONESTACK;400;0;0;0;0;0;0;0;0;0;0;0;3.08973;1.74113;1.3486
5;2;1;ONESTACKENEMYFIRST;221;1;11;5;39;9;38;1;12;9;7;47;2.74104;1.52151;1.21953
5;2;1;ONESTACKENEMY;0;0;0;0;0;0;254;3;11;30;10;92;2.64992;1.32187;1.32805
5;2;1;ONESTACKFRIENDLY;334;2;11;4;40;9;0;0;0;0;0;0;3.05083;1.73851;1.31232
5;2;1;TWOSTACKS;390;3;0;0;0;0;0;7;0;0;0;0;3.0898;1.7504;1.3394
5;2;1;TWOSTACKSENEMYFIRST;171;16;0;0;0;0;205;8;0;0;0;0;2.90172;1.5603;1.34142
5;2;1;TWOSTACKSENEMY;380;3;17;0;0;0;0;0;0;0;0;0;3.04669;1.70686;1.33983
5;2;1;TWOSTACKSFRIENDLY;0;0;0;0;0;0;311;10;3;19;9;48;2.60135;1.2844;1.31695
5;2;1;THREESTACKS;304;5;28;0;0;0;0;1;62;0;0;0;2.89884;1.60729;1.29155
5;2;1;THREESTACKSENEMYFIRST;120;9;82;0;0;0;132;3;54;0;0;0;2.76816;1.50132;1.26684
5;2;1;THREESTACKSENEMY;367;8;25;0;0;0;0;0;0;0;0;0;3.0924;1.75308;1.33932
5;2;1;THREESTACKSFRIENDLY;0;0;0;0;0;0;291;10;20;21;7;51;2.69608;1.34476;1.35132
5;2;1;LOWEST;254;6;36;7;0;0;0;4;54;39;0;0;2.78235;1.52769;1.25466
5;2;1;LOWESTENEMYFIRST;82;11;66;11;0;0;142;3;40;45;0;0;2.65522;1.42163;1.23359
5;2;1;LOWESTENEMY;366;3;21;10;0;0;0;0;0;0;0;0;3.02852;1.72697;1.30155
5;2;1;LOWESTFRIENDLY;0;0;0;0;0;0;309;3;7;44;4;33;2.63791;1.30807;1.32984
5;3;1;FOCUSFRIENDLY;308;8;16;11;38;19;0;0;0;0;0;0;3.91101;2.17393;1.73708
5;3;1;FOCUSENEMY;0;0;0;0;0;0;234;16;15;32;26;77;3.65572;1.7935;1.86222
5;3;1;RANDOM;399;0;0;0;0;0;1;0;0;0;0;0;4.15652;2.30153;1.85499
5;3;1;RANDOMENEMY;118;0;0;0;0;0;282;0;0;0;0;0;4.0999;2.12919;1.97071
5;3;1;RANDOMFRIENDLY;0;0;0;0;0;0;325;7;18;35;3;12;3.89267;1.92001;1.97266
5;3;1;ONESTACK;398;0;0;0;2;0;0;0;0;0;0;0;4.25339;2.34819;1.9052
5;3;1;ONESTACKENEMYFIRST;168;2;14;12;38;15;59;4;13;9;20;46;3.66821;1.94987;1.71834
5;3;1;ONESTACKENEMY;0;0;0;0;0;0;248;10;9;34;25;74;3.7338;1.84359;1.89021
5;3;1;ONESTACKFRIENDLY;298;8;15;11;45;23;0;0;0;0;0;0;3.92796;2.17775;1.75021
5;3;1;TWOSTACKS;347;21;0;0;0;0;5;27;0;0;0;0;4.15903;2.25525;1.90378
5;3;1;TWOSTACKSENEMYFIRST;123;26;0;0;0;0;224;27;0;0;0;0;4.06725;2.1168;1.95045
5;3;1;TWOSTACKSENEMY;326;24;49;0;1;0;0;0;0;0;0;0;3.99998;2.2059;1.79408
5;3;1;TWOSTACKSFRIENDLY;0;0;0;0;0;0;330;23;5;14;6;22;3.81966;1.91558;1.90408
5;3;1;THREESTACKS;201;14;69;0;0;0;3;17;96;0;0;0;3.84534;2.04336;1.80198
5;3;1;THREESTACKSENEMYFIRST;69;11;99;0;0;0;134;13;74;0;0;0;3.7753;1.96907;1.80623
5;3;1;THREESTACKSENEMY;323;18;59;0;0;0;0;0;0;0;0;0;4.13775;2.27771;1.86004
5;3;1;THREESTACKSFRIENDLY;0;0;0;0;0;0;296;20;37;11;6;30;3.87738;1.92727;1.95011
5;3;1;LOWEST;157;6;60;38;0;0;3;7;60;69;0;0;3.64497;1.92071;1.72426
5;3;1;LOWESTENEMYFIRST;26;12;78;23;0;0;117;7;51;86;0;0;3.72738;1.92735;1.80003
5;3;1;LOWESTENEMY;300;15;62;23;0;0;0;0;0;0;0;0;4.03151;2.21765;1.81386
5;3;1;LOWESTFRIENDLY;0;0;0;0;0;0;255;9;27;90;8;11;3.78937;1.88462;1.90475
5;4;1;FOCUSFRIENDLY;266;14;13;24;49;34;0;0;0;0;0;0;4.69475;2.52182;2.17293
5;4;1;FOCUSENEMY;0;0;0;0;0;0;249;18;7;41;23;62;4.44429;2.14708;2.29721
5;4;1;RANDOM;391;0;0;0;0;0;9;0;0;0;0;0;4.74858;2.53769;2.21089
5;4;1;RANDOMENEMY;56;0;0;0;0;0;344;0;0;0;0;0;4.91239;2.45976;2.45263
5;4;1;RANDOMFRIENDLY;0;0;0;0;0;0;364;12;7;14;2;1;4.87348;2.39743;2.47605
5;4;1;ONESTACK;394;3;1;1;1;0;0;0;0;0;0;0;4.85487;2.60189;2.25298
